-3.141000 	 -0.002963 
 -3.134865 	 -0.033631 
 -3.128730 	 -0.064267 
 -3.122596 	 -0.094842 
 -3.116461 	 -0.125328 
 -3.110326 	 -0.155696 
 -3.104191 	 -0.185918 
 -3.098057 	 -0.215965 
 -3.091922 	 -0.245809 
 -3.085787 	 -0.275421 
 -3.079652 	 -0.304774 
 -3.073518 	 -0.333841 
 -3.067383 	 -0.362593 
 -3.061248 	 -0.391005 
 -3.055113 	 -0.419048 
 -3.048979 	 -0.446698 
 -3.042844 	 -0.473926 
 -3.036709 	 -0.500710 
 -3.030574 	 -0.527022 
 -3.024439 	 -0.552838 
 -3.018305 	 -0.578134 
 -3.012170 	 -0.602886 
 -3.006035 	 -0.627071 
 -2.999900 	 -0.650666 
 -2.993766 	 -0.673649 
 -2.987631 	 -0.695998 
 -2.981496 	 -0.717692 
 -2.975361 	 -0.738711 
 -2.969227 	 -0.759036 
 -2.963092 	 -0.778646 
 -2.956957 	 -0.797523 
 -2.950822 	 -0.815650 
 -2.944687 	 -0.833010 
 -2.938553 	 -0.849586 
 -2.932418 	 -0.865363 
 -2.926283 	 -0.880325 
 -2.920148 	 -0.894460 
 -2.914014 	 -0.907752 
 -2.907879 	 -0.920191 
 -2.901744 	 -0.931764 
 -2.895609 	 -0.942461 
 -2.889475 	 -0.952271 
 -2.883340 	 -0.961185 
 -2.877205 	 -0.969194 
 -2.871070 	 -0.976292 
 -2.864936 	 -0.982471 
 -2.858801 	 -0.987726 
 -2.852666 	 -0.992052 
 -2.846531 	 -0.995444 
 -2.840396 	 -0.997900 
 -2.834262 	 -0.999417 
 -2.828127 	 -0.999994 
 -2.821992 	 -0.999630 
 -2.815857 	 -0.998325 
 -2.809723 	 -0.996082 
 -2.803588 	 -0.992901 
 -2.797453 	 -0.988786 
 -2.791318 	 -0.983741 
 -2.785184 	 -0.977770 
 -2.779049 	 -0.970879 
 -2.772914 	 -0.963075 
 -2.766779 	 -0.954365 
 -2.760645 	 -0.944757 
 -2.754510 	 -0.934260 
 -2.748375 	 -0.922884 
 -2.742240 	 -0.910640 
 -2.736105 	 -0.897539 
 -2.729971 	 -0.883594 
 -2.723836 	 -0.868818 
 -2.717701 	 -0.853224 
 -2.711566 	 -0.836827 
 -2.705432 	 -0.819643 
 -2.699297 	 -0.801688 
